Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,Grand total
Assurant General Insurance Limited,ASSURANT INC,no,2023-07-01 to 2023-12-31,,,,36.79%,,
Astrenska Insurance Limited,NO GROUP,no,2023-05-01 to 2023-10-31,,,,74.43%,,
Asurion Europe Limited,ASURION,no,2023-07-01 to 2023-12-31,,,,74.80%,,
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,no,2023-07-01 to 2023-12-31,,,,37.21%,,
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,2023-02-01 to 2023-07-31,,,,68.80%,,
Avantia Insurance Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,29.19%,,
Aviva Health UK Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,49.13%,,
Aviva Insurance Limited,AVIVA PLC,no,2023-07-01 to 2023-12-31,,,,63.57%,,
Aviva Life Services UK Limited,AVIVA PLC,yes,2023-07-01 to 2023-12-31,100.00%,53.53%,55.25%,59.40%,53.96%,
AWP Assistance UK Ltd,ALLIANZ SE,yes,2023-07-01 to 2023-12-31,,,,83.11%,,
AWP P&C S.A.,NO GROUP,no,2023-07-01 to 2023-12-31,,,,85.33%,,
AXA Insurance Designated Activity Company,AXA GROUP,no,2023-07-01 to 2023-12-31,,,,12.55%,,
AXA Insurance UK Plc,AXA GROUP,no,2023-07-01 to 2023-12-31,,,,43.31%,,
AXA PPP Healthcare Limited,AXA GROUP,no,2023-07-01 to 2023-12-31,,,,19.93%,,
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,yes,2023-07-01 to 2023-12-31,46.40%,,21.19%,100.00%,,
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,2023-07-01 to 2023-12-31,37.42%,64.00%,52.87%,71.64%,80.20%,
Barclays Bank Plc,BARCLAYS PLC,yes,2023-07-01 to 2023-12-31,22.25%,35.71%,50.00%,,39.69%,
Barclays Bank UK PLC,BARCLAYS PLC,yes,2023-07-01 to 2023-12-31,28.40%,16.67%,35.98%,25.49%,22.78%,
BISL Limited,BGL GROUP,no,2023-07-01 to 2023-12-31,,,,51.99%,,
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,2023-07-01 to 2023-12-31,,,85.71%,73.61%,,
Bradford & Bingley Limited,NO GROUP,yes,2023-04-01 to 2023-09-30,,,85.38%,55.56%,30.00%,
Brightside Insurance Services Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,58.86%,,
British Gas Services Limited,CENTRICA PLC,yes,2023-07-01 to 2023-12-31,,,,19.34%,,
Bspoke Underwriting Ltd,NO GROUP,no,2023-03-31 to 2023-09-30,,,,83.49%,,
BUPA Insurance Services Limited,BUPA GROUP,yes,2023-07-01 to 2023-12-31,,,,57.57%,,
Cabot Credit Management Group Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,67.44%,,,
Call Assist Ltd,CALL ASSIST LIMITED,no,2023-05-01 to 2023-10-31,,,,75.00%,,
Canada Life Limited,NO GROUP,yes,2023-07-01 to 2023-12-31,,79.21%,,62.91%,85.42%,
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,2023-07-01 to 2023-12-31,66.83%,,,66.67%,,
Car Care Plan Limited,NO GROUP,yes,2023-07-01 to 2023-12-31,,,,60.37%,,
Carfinance247 Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,76.79%,,
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP LIMITED,no,2023-07-01 to 2023-12-31,,,,37.27%,,
Castelan Limited,NO GROUP,no,2023-04-01 to 2023-09-30,,,,74.23%,,
Cater Allen Limited,NO GROUP,no,2023-07-01 to 2023-12-31,56.86%,,,,,
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,2023-07-01 to 2023-12-31,69.49%,,86.69%,,,
Chetwood Financial Limited,NO GROUP,no,2023-04-01 to 2023-09-30,99.56%,,,,,
Chubb European Group SE,CHUBB LIMITED,yes,2023-07-01 to 2023-12-31,,,,86.06%,,
Citibank UK Limited,CITI GROUP,no,2023-07-01 to 2023-12-31,29.19%,,,100.00%,88.24%,
ClearBank Limited,NO GROUP,no,2023-07-01 to 2023-12-31,57.34%,,,,,
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,2023-02-01 to 2023-07-31,86.52%,,,75.00%,,
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,2023-04-01 to 2023-09-30,55.48%,60.00%,72.16%,24.56%,86.27%,
Cofunds Limited,AEGON N.V.,no,2023-07-01 to 2023-12-31,,19.23%,,,31.60%,
Columbia Threadneedle Management Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,,66.43%,
Complete Cover Group Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,85.74%,,
Connells Limited,SKIPTON BUILDING SOCIETY,no,2023-07-01 to 2023-12-31,,,91.17%,78.89%,,
CORGI HomePlan Ltd,OVO GROUP,no,2023-07-01 to 2023-12-31,,,,76.33%,,
Coutts & Company,NATWEST GROUP,no,2023-07-01 to 2023-12-31,64.83%,83.33%,70.40%,63.64%,60.87%,
Covea Insurance plc,COVEA GROUP,yes,2023-07-01 to 2023-12-31,,,,75.78%,,
Coventry Building Society,NO GROUP,yes,2023-07-01 to 2023-12-31,44.54%,,56.42%,100.00%,,
Cover Genius Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,70.09%,,
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,2023-07-01 to 2023-12-31,76.87%,,,0.00%,,
Creation Financial Services Limited,BNP PARIBAS GROUP,no,2023-07-01 to 2023-12-31,64.95%,,,0.00%,,
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,2023-07-01 to 2023-12-31,79.25%,,87.50%,,,
DAS Legal Expenses Insurance Company Limited,ERGO GROUP,no,2023-07-01 to 2023-12-31,,,,79.69%,,
DAVIES MGA SERVICES LIMITED,NO GROUP,yes,2023-07-01 to 2023-12-31,,,,49.26%,,
Devitt Insurance Services Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,22.11%,,
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,2023-04-01 to 2023-09-30,,,,22.02%,,
Elavon Financial Services Designated Activity Company,NO GROUP,no,2023-07-01 to 2023-12-31,58.39%,,,,,
Elderbridge Limited,TECH MAHINDRA LIMITED,no,2023-04-01 to 2023-09-30,,,71.10%,0.00%,,
Embark Investment Services Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,40.49%,,,33.78%,
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,2023-07-01 to 2023-12-31,,91.67%,,,37.44%,
Equiniti Gateway Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,93.51%,,,
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,no,2023-07-01 to 2023-12-31,,,,83.65%,,
esure Insurance Limited,ESURE GROUP PLC,yes,2023-07-01 to 2023-12-31,,,,28.09%,,
EUI Limited,ADMIRAL GROUP PLC,yes,2023-07-01 to 2023-12-31,,,,41.75%,,
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,2023-07-01 to 2023-12-31,,,,14.45%,,
Experian Limited,EXPERIAN PLC,no,2023-04-01 to 2023-09-30,,,,71.43%,,
Extracover Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,45.51%,,
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,2023-07-01 to 2023-12-31,52.24%,,,,62.15%,
FCE Bank Plc,FORD MOTOR CO,no,2023-07-01 to 2023-12-31,65.99%,,,,,
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,no,2023-07-01 to 2023-12-31,,40.45%,,,,
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,2023-07-01 to 2023-12-31,,70.75%,,,75.61%,
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,2023-07-01 to 2023-12-31,,,,34.86%,,
FirstRand Bank Limited,FIRSTRAND LIMITED,no,2023-07-01 to 2023-12-31,,,,56.52%,,
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,2023-07-01 to 2023-12-31,,64.29%,,36.59%,62.30%,
Fortegra Europe Insurance Company Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,73.86%,,
Frasers Group Financial Services Limited,NO GROUP,no,2023-05-01 to 2023-10-31,,,,50.00%,,
Funding Circle Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,,85.45%,
Gresham Insurance Company Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,54.34%,,
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,2023-07-01 to 2023-12-31,,78.57%,,,56.96%,
Handelsbanken plc,NO GROUP,no,2023-07-01 to 2023-12-31,38.93%,,57.33%,,,
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,yes,2023-07-01 to 2023-12-31,,89.52%,,,85.39%,
Hastings Insurance Services Limited,HASTINGS GROUP,yes,2023-07-01 to 2023-12-31,,,,66.88%,,
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,2023-07-01 to 2023-12-31,,,,,52.52%,
Helvetia Global Solutions Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,63.77%,,
Highway Insurance Company Limited,ALLIANZ SE,no,2023-07-01 to 2023-12-31,,,,46.82%,,
Hiscox Insurance Company Limited,HISCOX LTD.,yes,2023-07-01 to 2023-12-31,,,,79.62%,,
Holiday Extras Cover Limited,NO GROUP,yes,2023-04-01 to 2023-09-30,,,,11.65%,,
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,2023-03-01 to 2023-08-31,64.61%,,,,,
Homeserve Membership Limited,HOMESERVE PLC,no,2023-07-01 to 2023-12-31,,,,66.62%,,
Howserv Limited,STAYSURE HOLDINGS LTD,no,2023-07-01 to 2023-12-31,,,,52.05%,,
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,2023-07-01 to 2023-12-31,28.89%,61.36%,58.43%,64.44%,74.58%,
Hyundai Capital UK Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,,,
I Go 4 Ltd.,NO GROUP,no,2023-07-01 to 2023-12-31,,,,58.62%,,
Ikano Bank AB (publ),NO GROUP,no,2023-07-01 to 2023-12-31,69.51%,,,,,
Insurance Factory Ltd,MARKERSTUDY GROUP,no,2023-07-01 to 2023-12-31,,,,63.94%,,
Integra Insurance Solutions Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,49.17%,,
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,2023-07-01 to 2023-12-31,,48.86%,,,69.47%,
Investec Bank PLC,INVESTEC PLC,no,2023-04-01 to 2023-09-30,61.55%,100.00%,90.00%,,91.67%,
Investment Funds Direct Limited,M&G PLC,no,2023-07-01 to 2023-12-31,,43.09%,,,48.40%,
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,2023-03-01 to 2023-08-31,,,,65.52%,,
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,2023-07-01 to 2023-12-31,65.95%,,,,,
James Hay Administration Company Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,91.71%,,,,
Kensington Mortgage Company Limited,NO GROUP,no,2023-04-01 to 2023-09-30,,,71.80%,,,
Kensington Mortgage Company Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,71.38%,,,
Kroo Bank Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,99.24%,,,,,
Landmark Mortgages Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,71.53%,,,
LeasePlan UK Limited,LP GROUP B.V.,no,2023-07-01 to 2023-12-31,,,,50.00%,,
Leeds Building Society,LEEDS BUILDING SOCIETY,no,2023-07-01 to 2023-12-31,44.08%,,54.08%,30.77%,,
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,2023-07-01 to 2023-12-31,,56.76%,,,66.67%,
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,2023-07-01 to 2023-12-31,,33.81%,,45.01%,,
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2023-07-01 to 2023-12-31,100.00%,52.43%,,30.55%,37.34%,
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,no,2023-07-01 to 2023-12-31,,,,48.28%,,
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,2023-07-01 to 2023-12-31,,,,76.72%,,
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,yes,2023-07-01 to 2023-12-31,38.42%,66.18%,53.02%,68.30%,67.05%,
London and Country Mortgages Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,80.79%,71.43%,,
M & G Securities Limited,M&G PLC,no,2023-07-01 to 2023-12-31,,,,,55.78%,
ManyPets Ltd,NO GROUP,no,2023-04-01 to 2023-09-30,,,,89.82%,,
Markerstudy Insurance Services Limited,MARKERSTUDY GROUP,no,2023-07-01 to 2023-12-31,,,,46.49%,,
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,2023-07-01 to 2023-12-31,32.04%,,,28.13%,,
Marshmallow Financial Services Ltd,NO GROUP,yes,2023-07-01 to 2023-12-31,,,,89.01%,,
MBNA Limited,LLOYDS BANKING GROUP PLC,no,2023-07-01 to 2023-12-31,38.69%,,,35.77%,,
MetLife Europe d.a.c.,NO GROUP,no,2023-07-01 to 2023-12-31,,68.52%,,65.76%,68.42%,
Metro Bank PLC,METRO BANK PLC,no,2023-07-01 to 2023-12-31,64.18%,,76.62%,,,
Monzo Bank Ltd,MONZO BANK LIMITED,no,2023-03-01 to 2023-08-31,82.75%,,,,,
Moorcroft Debt Recovery Limited,NO GROUP,no,2023-02-01 to 2023-07-31,75.34%,,,,,
MotoNovo Finance Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,65.12%,,
Munich Re Digital Partners Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,55.89%,,
National House-Building Council,NO GROUP,no,2023-04-01 to 2023-09-30,,,,93.41%,,
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,2023-07-01 to 2023-12-31,67.99%,44.83%,62.06%,83.92%,83.84%,
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,2023-04-05 to 2023-09-30,48.92%,80.00%,61.09%,49.62%,86.90%,
Newcastle Building Society,NO GROUP,no,2023-07-01 to 2023-12-31,50.54%,,31.67%,,33.33%,
Northern Bank Limited,DANSKE BANK A/S,no,2023-07-01 to 2023-12-31,47.66%,,86.26%,0.00%,100.00%,
Nutmeg Saving and Investment Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,87.27%,,,77.30%,
One Call Insurance Services Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,21.38%,,
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,2023-07-01 to 2023-12-31,45.87%,,69.46%,,,
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,2023-04-01 to 2023-09-30,83.32%,,54.40%,50.00%,,
People's Administration Services Limited,NO GROUP,no,2023-04-01 to 2023-09-30,,27.43%,,,,
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,no,2023-07-01 to 2023-12-31,,,81.15%,,,
Phoenix Life Assurance Limited,PHOENIX GROUP,no,2023-07-01 to 2023-12-31,,38.95%,,69.76%,56.52%,
Phoenix Life Limited,PHOENIX GROUP,no,2023-07-01 to 2023-12-31,,56.29%,64.29%,60.04%,62.70%,
Pinnacle Insurance Plc,BNP PARIBAS GROUP,no,2023-07-01 to 2023-12-31,,,,51.02%,,
Post Office Management Services Limited,POST OFFICE LIMITED,no,2023-04-01 to 2023-09-30,,,,63.83%,,
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,2023-07-01 to 2023-12-31,44.07%,,44.51%,85.71%,100.00%,
QBE UK Limited,QBE INSURANCE GROUP,no,2023-07-01 to 2023-12-31,,,,69.68%,,
Qmetric Group Limited,NO GROUP,no,2023-04-01 to 2023-09-30,,,,73.21%,,
Quilter Investment Platform Limited,QUILTER GROUP,no,2023-07-01 to 2023-12-31,,,,,98.80%,
Quilter Life & Pensions Limited,QUILTER GROUP,no,2023-07-01 to 2023-12-31,,99.23%,,,99.39%,
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,2023-07-01 to 2023-12-31,,,,75.09%,,
RBS Collective Investment Funds Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,,46.02%,
ReAssure Life Limited,PHOENIX GROUP,no,2023-07-01 to 2023-12-31,,76.68%,,57.72%,48.29%,
ReAssure Limited,PHOENIX GROUP,no,2023-07-01 to 2023-12-31,,67.18%,100.00%,72.28%,52.58%,
Reassured Ltd,NO GROUP,no,2023-02-01 to 2023-07-31,,,,39.25%,,
Rock Insurance Services Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,44.48%,,
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,2023-07-01 to 2023-12-31,,,,37.66%,,
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,2023-07-01 to 2023-12-31,,,,54.12%,,
Saga Services Limited,SAGA PLC,no,2023-02-01 to 2023-07-31,,,,19.93%,,
Sainsbury's Bank Plc,J SAINSBURY PLC,no,2023-03-01 to 2023-08-31,46.22%,,73.20%,67.20%,,
Santander Consumer (UK) Plc,SANTANDER UK GROUP,no,2023-07-01 to 2023-12-31,,,,100.00%,,
Santander ISA Managers Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,,88.10%,
Santander UK Plc,SANTANDER UK GROUP,yes,2023-07-01 to 2023-12-31,49.27%,65.00%,57.50%,77.24%,64.15%,
Scottish Equitable Plc,AEGON N.V.,no,2023-07-01 to 2023-12-31,,34.19%,,65.05%,61.67%,
Scottish Friendly Assurance Society Limited,NO GROUP,yes,2023-07-01 to 2023-12-31,,90.62%,,81.97%,86.00%,
Scottish Widows Administration Services Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,84.43%,,,,
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,no,2023-07-01 to 2023-12-31,,52.01%,,58.29%,64.37%,
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,2023-07-01 to 2023-12-31,,,,,51.61%,
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,2023-07-01 to 2023-12-31,92.02%,,100.00%,,,
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,2023-07-01 to 2023-12-31,68.82%,,71.33%,100.00%,,
Shop Direct Finance Company Limited,THE VERY GROUP,no,2023-07-01 to 2023-12-31,,,,99.02%,,
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,2023-07-01 to 2023-12-31,,,,64.46%,,
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,2023-07-01 to 2023-12-31,40.36%,96.88%,59.97%,57.14%,89.16%,
Society of Lloyd's,SOCIETY OF LLOYD'S,no,2023-07-01 to 2023-12-31,,,,69.90%,,
Somerset Bridge Insurance Services Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,38.65%,,
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,2023-07-01 to 2023-12-31,,97.85%,,100.00%,93.37%,
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,no,2023-07-01 to 2023-12-31,,12.23%,33.33%,14.29%,13.10%,
Standard Life Assurance Limited,PHOENIX GROUP,no,2023-07-01 to 2023-12-31,,59.35%,100.00%,62.07%,48.64%,
Standard Life Savings Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,,90.09%,
Starling Bank Limited,NO GROUP,no,2023-04-01 to 2023-09-30,89.30%,,,,,
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,2023-07-01 to 2023-12-31,,,,84.46%,,
Sun Life Assurance Company of Canada (U.K.) Limited,PHOENIX GROUP,no,2023-07-01 to 2023-12-31,,82.21%,,90.28%,90.65%,
Swift 1st Limited,NO GROUP,no,2023-04-01 to 2023-09-30,,,60.13%,100.00%,,
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,no,2023-07-01 to 2023-12-31,,,,83.74%,,
Telefonica UK Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,60.00%,,
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),no,2023-03-01 to 2023-08-31,56.66%,,,48.02%,,
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),no,2023-03-01 to 2023-08-31,,,,57.72%,,
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,2023-07-01 to 2023-12-31,11.96%,,37.79%,45.45%,,
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,2023-07-01 to 2023-12-31,,,55.71%,,,
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,2023-04-01 to 2023-09-30,,,79.69%,,,
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,2023-07-01 to 2023-12-31,,100.00%,,59.73%,95.38%,
The Prudential Assurance Company Limited,M&G PLC,yes,2023-07-01 to 2023-12-31,,68.19%,19.35%,81.20%,79.98%,
The Royal Bank of Scotland Plc,NATWEST GROUP,no,2023-07-01 to 2023-12-31,68.76%,50.00%,56.68%,45.07%,82.86%,
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,2023-07-01 to 2023-12-31,,66.13%,,70.45%,60.94%,
Topaz Finance Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,88.00%,,,
Triodos Bank UK Limited,NO GROUP,no,2023-07-01 to 2023-12-31,58.45%,,,,59.68%,
TSB Bank plc,BANCO DE SABADELL SA,no,2023-07-01 to 2023-12-31,29.83%,,40.24%,61.54%,,
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,2023-07-01 to 2023-12-31,,,,46.34%,,
UK Mortgage Lending Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,61.76%,,,
Usay Business Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,97.49%,,
"Vanguard Asset Management, Ltd",NO GROUP,no,2023-07-01 to 2023-12-31,,22.34%,,,32.62%,
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,2023-07-01 to 2023-12-31,64.32%,,,,,
Vitality Corporate Services Limited,DISCOVERY LIMITED,yes,2023-07-01 to 2023-12-31,,60.00%,,62.09%,50.00%,
Vodafone Limited,NO GROUP,no,2023-04-01 to 2023-09-30,,,,28.57%,,
Wesleyan Assurance Society,NO GROUP,no,2023-07-01 to 2023-12-31,,75.26%,,73.17%,77.99%,
Xbridge Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,72.34%,,
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,yes,2023-07-01 to 2023-12-31,55.59%,100.00%,54.20%,83.33%,,
Zopa Bank Limited,NO GROUP,yes,2023-07-01 to 2023-12-31,64.98%,,,,,
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,2023-07-01 to 2023-12-31,,71.81%,100.00%,77.09%,77.94%,
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,no,2023-07-01 to 2023-12-31,,,,68.97%,,
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,2023-01-01 to 2023-06-30,33.33%,,58.78%,,,
Accredited Insurance (Europe) Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,,58.34%,,
Acm Ulr Limited,BGL GROUP,no,2023-01-01 to 2023-06-30,,,,87.10%,,
Acorn Insurance & Financial Services Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,,74.50%,,
Acromas Insurance Company Limited,SAGA PLC,no,2023-01-01 to 2023-06-30,,,,37.55%,,
Adrian Flux Insurance Services Group,NO GROUP,no,2022-09-01 to 2023-02-28,,,,11.29%,,
Advanced Payment Solutions Limited,NO GROUP,no,2022-10-01 to 2023-03-31,69.48%,,,,,
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,2023-01-01 to 2023-06-30,,,,42.97%,,
Affinity Insurance Solutions Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,28.99%,,
Ageas Insurance Limited,AGEAS SA-NV,no,2023-01-01 to 2023-06-30,,,,66.34%,,
Ageas Retail Limited,AGEAS SA-NV,no,2023-01-01 to 2023-06-30,,,,49.92%,,
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,2023-01-01 to 2023-06-30,70.90%,,85.37%,100.00%,,
AIG Life Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,39.22%,,
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,2023-01-01 to 2023-06-30,,,,83.97%,,
AJ Bell Management Limited,NO GROUP,no,2022-10-01 to 2023-03-31,62.16%,54.30%,,,,
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2023-01-01 to 2023-06-30,50.48%,,70.12%,,,
Allianz Insurance Plc,ALLIANZ SE,no,2023-01-01 to 2023-06-30,,,,52.54%,,
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,2023-01-01 to 2023-06-30,66.82%,,,59.26%,,
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",no,2023-01-01 to 2023-06-30,,,,64.00%,,
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,no,2023-01-01 to 2023-06-30,,,,62.13%,,
Animal Friends Insurance Services Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,,84.54%,,
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,yes,2023-01-01 to 2023-06-30,,,,61.98%,,
Assurant General Insurance Limited,ASSURANT INC,no,2023-01-01 to 2023-06-30,,,,26.50%,,
Astrenska Insurance Limited,NO GROUP,no,2022-11-01 to 2023-04-30,,,,59.53%,,
Asurion Europe Limited,ASURION,no,2023-01-01 to 2023-06-30,,,,71.51%,,
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,no,2023-01-01 to 2023-06-30,,,,38.74%,,
Atom Bank PLC,NO GROUP,no,2022-10-01 to 2023-03-31,53.49%,,65.22%,,,
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,2022-08-01 to 2023-01-31,,,,79.12%,,
Avantia Insurance Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,13.47%,,
Aviva Health UK Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,49.59%,,
Aviva Insurance Limited,AVIVA PLC,no,2023-01-01 to 2023-06-30,,,,65.28%,,
Aviva Life Services UK Limited,AVIVA PLC,no,2023-01-01 to 2023-06-30,,48.87%,48.65%,54.42%,52.99%,
AWP Assistance UK Ltd,ALLIANZ SE,no,2023-01-01 to 2023-06-30,,,,78.65%,,
AWP P&C S.A.,NO GROUP,no,2023-01-01 to 2023-06-30,,,,69.01%,,
AXA Insurance Designated Activity Company,AXA GROUP,no,2023-01-01 to 2023-06-30,,,,7.65%,,
AXA Insurance UK Plc,AXA GROUP,no,2023-01-01 to 2023-06-30,,,,48.68%,,
AXA PPP Healthcare Limited,AXA GROUP,no,2023-01-01 to 2023-06-30,,,,18.68%,,
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,yes,2023-01-01 to 2023-06-30,47.51%,,46.55%,100.00%,,
